record,Bullied_on_school_property_in_past_12_months,Age,Sex,Felt Lonely,Close Friends,Other Students Kind and Helpful
26747,No,15 years old,Male,Sometimes,3 or more,Always
26748,No,14 years old,Female,Sometimes,3 or more,Always
26749,No,14 years old,Female,Sometimes,2,Sometimes
26750,No,14 years old,Male,Most of the time,2,Most of the time
26751,Yes,14 years old,Female,Sometimes,3 or more,Always
26752,No,14 years old,Female,Rarely,3 or more,Never
26753,No,16 years old,Male,Sometimes,3 or more,Most of the time
26754,Yes,15 years old,Female,Most of the time,3 or more,Sometimes
26755,No,15 years old,Female,Always,1,Rarely
26756,No,15 years old,Male,Never,3 or more,Always
26757,No,16 years old,Female,Sometimes,3 or more,Sometimes
26758,Yes,15 years old,Female,Sometimes,3 or more,Rarely
26759,Yes,16 years old,Female,Most of the time,3 or more,Rarely
26760,No,15 years old,Male,Rarely,3 or more,Most of the time
26761,No,16 years old,Male,Never,3 or more,Always
26762,No,15 years old,Female,Never,0,Never
26763,No,15 years old,Male,Rarely,3 or more,Sometimes
26764,No,15 years old,Female,Never,3 or more,Never
26765,Yes,16 years old,Male,Most of the time,3 or more,Most of the time
26766,No,16 years old,Male,Rarely,2,Most of the time
26767,No,17 years old,Female,Never,3 or more,Always
26768,No,16 years old,Female,Rarely,3 or more,Always
26769,No,16 years old,Female,Sometimes,1,Most of the time
26770,No,16 years old,Male,Sometimes,1,Always
26771,No,16 years old,Female,Rarely,3 or more,Most of the time
26772,Yes,17 years old,Male,Most of the time,0,Never
26773,No,16 years old,Female,Rarely,3 or more,Always
26774,No,17 years old,Female,Most of the time,2,Always
26775,No,17 years old,Female,Never,1,Most of the time
26776,No,17 years old,Male,Rarely,1,Most of the time
26777,No,14 years old,Male,Sometimes,1,Sometimes
26778,No,13 years old,Male,Never,3 or more,Rarely
26779,No,13 years old, ,Never,3 or more,Most of the time
26780,No,13 years old,Male,Never,3 or more,Always
26781,No,13 years old,Male,Sometimes,2,Always
26782,Yes,13 years old,Female,Sometimes,3 or more,Sometimes
26783,No,13 years old,Male,Never,3 or more,Sometimes
26784,No,14 years old,Male,Never,3 or more,Never
26785,No,13 years old,Male,Rarely,3 or more,Rarely
26786,No,13 years old,Female,Most of the time,3 or more,Sometimes
26787,No,14 years old,Female,Rarely,3 or more,Rarely
26788,No,14 years old,Male,Never,3 or more,Sometimes
26789,No,13 years old,Female,Rarely,2,Sometimes
26790,No,13 years old,Female,Never,3 or more,Sometimes
26791,No,14 years old,Male,Never,3 or more,Always
26792,No,14 years old,Female,Never,3 or more,Most of the time
26793,Yes,13 years old,Female,Most of the time,3 or more,Rarely
26794,No,13 years old,Female,Sometimes,3 or more,Sometimes
26795,No,13 years old,Male,Never,3 or more,Sometimes
26796,Yes,14 years old,Female,Always,3 or more,Sometimes
26797,No,15 years old,Male,Most of the time,3 or more,Sometimes
26798,No,15 years old,Male,Never,3 or more,Sometimes
26799,No,15 years old,Male,Never,0,Rarely
26800,No,14 years old,Male,Rarely,3 or more,Sometimes
26801,No,14 years old,Female,Sometimes,3 or more,Rarely
26802,Yes,14 years old,Male,Sometimes,3 or more,Sometimes
26803,No,15 years old,Male,Never,3 or more,Sometimes
26804,No,14 years old,Male,Never,3 or more,Most of the time
26805,No,14 years old,Female,Sometimes,0,Sometimes
26806,No,14 years old,Female,Sometimes,3 or more,Rarely
26807,No,15 years old,Female,Rarely,3 or more,Rarely
26808,Yes,14 years old,Female,Most of the time,3 or more,Never
26809,Yes,13 years old,Male,Never,0,Rarely
26810,No,16 years old,Male,Never,3 or more,Rarely
26811,No,14 years old,Female,Never,3 or more,Rarely
26812,Yes,15 years old,Female,Always,3 or more,Most of the time
26813,No,14 years old,Female,Sometimes,3 or more,Always
26814,No,14 years old,Female,Never,3 or more,Never
26815,No,16 years old,Female,Sometimes,0,Rarely
26816,No,15 years old,Female,Most of the time,3 or more,Most of the time
26817,No,15 years old,Female,Sometimes,2,Sometimes
26818,Yes,17 years old,Male,Always,1,Most of the time
26819,No,17 years old,Male,Sometimes,3 or more,Most of the time
26820,No,16 years old,Female,Never,0,Sometimes
