record,Bullied_on_school_property_in_past_12_months,Age,Sex,Felt Lonely,Close Friends,Other Students Kind and Helpful
11715,No,15 years old,Male,Never,3 or more,Sometimes
11716,No,14 years old,Female,Rarely,3 or more,Never
11717,No,14 years old,Female,Rarely,3 or more,Never
11718,Yes,15 years old,Female,Rarely,3 or more,Most of the time
11719,No,15 years old,Female,Sometimes,1,Rarely
11720,No,15 years old,Male,Rarely,3 or more,Most of the time
11721,Yes,16 years old,Female,Most of the time,3 or more,Most of the time
11722,No,15 years old,Male,Rarely,3 or more,Sometimes
11723,No,14 years old,Male,Sometimes,3 or more,Rarely
11724,No,15 years old,Male,Sometimes,2,Sometimes
11725,No,14 years old,Male,Never,3 or more,Sometimes
11726,No,14 years old,Male,Never,1,Always
11727,No,15 years old,Male,Rarely,3 or more,Never
11728,No,16 years old,Female,Most of the time,3 or more,Most of the time
11729,No,16 years old,Male,Sometimes,3 or more,Sometimes
11730,Yes,16 years old,Female,Sometimes,3 or more,Rarely
11731,No,16 years old,Male,Never,3 or more,Always
11732,No,17 years old,Male,Never,3 or more,Rarely
11733,No,17 years old,Female,Rarely,3 or more,Most of the time
11734,Yes,17 years old,Female,Most of the time,3 or more,Sometimes
11735,No,16 years old,Female,Sometimes,3 or more,Most of the time
11736,No,16 years old,Female,Sometimes,1,Most of the time
11737,Yes,17 years old,Female,Sometimes,2,Most of the time
11738,No,16 years old,Male,Never,3 or more,Always
11739,No,16 years old,Female,Sometimes,3 or more,Always
11740,No,17 years old,Female,Never,2,Most of the time
11741,No,16 years old,Female,Sometimes,3 or more,Sometimes
11742,Yes,16 years old,Female,Sometimes, ,Rarely
11743,No,16 years old,Female,Never,3 or more,Always
11744,No,16 years old,Female,Sometimes,2,Most of the time
11745,No,16 years old,Female,Sometimes,3 or more,Most of the time
11746,No,16 years old,Female,Sometimes,3 or more,Always
11747,Yes,17 years old,Female,Most of the time,2,Most of the time
11748,No,16 years old,Male,Rarely,3 or more,Most of the time
11749,No,16 years old,Male,Sometimes,3 or more,Always
11750,No,16 years old,Male,Rarely,3 or more,Most of the time
11751,No,16 years old,Female,Sometimes,2,Rarely
11752,Yes,16 years old,Female,Most of the time,1,Sometimes
11753,No,16 years old,Female,Most of the time,3 or more,Rarely
11754,No,16 years old,Female,Rarely,3 or more,Most of the time
11755,No,14 years old,Male,Never,3 or more,Always
11756,No,14 years old,Male,Rarely,3 or more,Most of the time
11757,Yes,14 years old,Male,Never,3 or more,Never
11758,No,14 years old,Female,Most of the time,3 or more,Rarely
11759,No,15 years old,Female,Rarely,2,Rarely
11760,No,14 years old,Male,Rarely,3 or more,Rarely
11761,No,13 years old,Female,Rarely,3 or more,Always
11762,No,13 years old,Male,Never,3 or more,Most of the time
11763,Yes,13 years old,Female,Sometimes,2,Rarely
11764,No,14 years old,Female,Never,3 or more,Always
11765,No,15 years old,Male,Always,0,Rarely
11766,No,14 years old,Male,Sometimes,3 or more,Sometimes
11767,Yes,13 years old,Female,Rarely,3 or more,Sometimes
11768,No,15 years old,Female,Never,3 or more,Most of the time
11769,Yes,13 years old,Female,Sometimes,3 or more,Most of the time
11770,Yes,13 years old,Male,Never,3 or more,Always
11771,No,13 years old,Female,Never,3 or more,Always
11772,No,15 years old,Female,Sometimes,3 or more,Never
11773,Yes,15 years old,Female,Sometimes,3 or more,Sometimes
11774,Yes,14 years old,Female,Sometimes,3 or more,Sometimes
11775,No,13 years old,Male,Never, ,Most of the time
11776,Yes,11 years old or younger, ,Always,3 or more,Never
11777,Yes,13 years old,Female,Sometimes,3 or more,Most of the time
11778,Yes,14 years old,Male,Always,0,Sometimes
11779,No,15 years old,Female,Sometimes,3 or more,Rarely
11780,Yes,13 years old,Female,Always,0,Never
11781,No,13 years old,Female,Always,3 or more,Sometimes
11782,Yes,15 years old,Female,Most of the time,2,Always
11783,Yes,15 years old,Male,Always,3 or more,Rarely
11784,No,13 years old,Male,Always,3 or more,Rarely
11785,No,14 years old,Female,Never,0,Most of the time
11786,No,15 years old,Female,Never,1,Always
11787,No,13 years old,Female,Rarely,3 or more,Never
11788,Yes,14 years old,Female,Rarely,3 or more,Never
11789,Yes,14 years old,Female,Never,2,Never
11790,No,14 years old,Male,Never,3 or more,Rarely
11791,No,14 years old,Male, ,1,Rarely
11792,No,16 years old,Male,Never,3 or more,Most of the time
11793,No,16 years old,Male,Never,2,Never
11794,No,14 years old,Female,Never,3 or more,Never
11795,No,13 years old,Male,Never,2,Sometimes
11796,No,15 years old,Male,Rarely,3 or more,Sometimes
11797,Yes,13 years old,Male,Rarely,3 or more,Rarely
11798,No,15 years old,Male,Never,1,Never
11799,No,14 years old,Male,Sometimes,3 or more,Sometimes
11800,Yes,14 years old,Male,Never,3 or more,Most of the time
11801,Yes,15 years old,Female, ,3 or more,Never
11802,No,14 years old,Female,Never,1,Rarely
11803,No,14 years old,Female,Never,2,Sometimes
11804,Yes,13 years old,Female,Always,1,Rarely
11805,No,14 years old,Female,Never,3 or more,Always
11806,No,14 years old,Male,Rarely,3 or more,Most of the time
11807,No,16 years old,Female,Never,3 or more,Sometimes
11808,No,17 years old,Female,Never,0,Never
11809,No,15 years old,Female,Sometimes,3 or more,Always
11810,No,14 years old,Female,Never,2,Most of the time
11811,No,15 years old,Female,Rarely,3 or more,Sometimes
11812,No,15 years old,Male,Rarely,3 or more,Never
11813,No,15 years old,Female,Sometimes,2,Sometimes
11814,No,16 years old,Female,Rarely,2,Sometimes
11815,No,14 years old,Female,Rarely,3 or more, 
11816,No,14 years old,Female,Never,3 or more,Rarely
11817,No,15 years old,Female,Never,3 or more,Rarely
11818,No,15 years old,Female,Never,3 or more,Most of the time
11819,No,14 years old,Female,Rarely,3 or more,Sometimes
11820,Yes,15 years old,Female,Always,3 or more,Always
11821,No,16 years old,Female,Never,3 or more,Most of the time
11822,Yes,14 years old,Male,Sometimes,3 or more,Sometimes
11823,Yes,14 years old,Female,Sometimes,3 or more,Always
11824,No,15 years old,Female,Never,3 or more,Rarely
11825,No,15 years old,Female,Sometimes,3 or more,Rarely
11826,Yes,15 years old,Female,Rarely,1,Never
11827,Yes,16 years old,Male,Rarely,3 or more,Rarely
11828,No,16 years old,Male,Rarely,3 or more,Sometimes
11829,No,14 years old,Male,Rarely, ,Rarely
11830,No,16 years old,Female,Rarely,3 or more,Sometimes
11831,Yes,15 years old,Female,Most of the time,3 or more,Rarely
11832,No,14 years old,Male,Sometimes,2,Rarely
11833,No,16 years old,Female,Most of the time,3 or more,Never
11834,No,15 years old,Male,Rarely,3 or more,Always
11835,No,15 years old,Male,Never,3 or more,Sometimes
11836,No,16 years old,Female,Sometimes,3 or more,Sometimes
11837,No,14 years old,Male,Rarely,3 or more,Always
11838,No,16 years old,Female,Sometimes,3 or more,Rarely
11839,No,14 years old,Female,Sometimes,3 or more,Always
11840,Yes,14 years old,Female,Always,3 or more,Rarely
11841,No,14 years old,Female,Rarely,3 or more,Always
11842,Yes,15 years old,Male,Rarely,3 or more,Sometimes
11843,Yes,15 years old,Female,Never,3 or more,Never
11844,No,15 years old,Male,Never,2,Rarely
11845,No,15 years old,Male,Sometimes,3 or more,Rarely
11846,No,14 years old,Male,Sometimes,2,Sometimes
11847,No,17 years old,Male,Sometimes,3 or more,Sometimes
11848,No,16 years old,Male,Sometimes,3 or more,Most of the time
11849,No,16 years old,Female,Most of the time,0,Rarely
11850,No,15 years old,Female,Rarely,3 or more,Always
11851,No,15 years old,Female,Never,3 or more,Sometimes
11852,No,16 years old,Female,Rarely,3 or more,Rarely
11853,No,17 years old,Female,Most of the time,1,Sometimes
11854,Yes,17 years old,Female,Most of the time,2,Sometimes
11855,No,16 years old,Female,Never,0,Most of the time
11856,Yes,15 years old,Female,Never,3 or more,Sometimes
11857,No,15 years old,Female,Sometimes,2,Most of the time
11858,No,15 years old,Female,Most of the time,1,Most of the time
11859,No,17 years old,Male,Most of the time,3 or more,Most of the time
11860,Yes,16 years old,Female,Rarely,3 or more,Never
11861,No,16 years old,Male,Never,2,Never
11862,Yes,16 years old,Female,Sometimes,3 or more,Most of the time
11863,No,17 years old,Female,Never,3 or more,Sometimes
11864,Yes,16 years old,Male,Sometimes,2,Never
11865,No,17 years old,Male,Never,1,Never
11866,No,17 years old,Male,Never,2,Rarely
11867,No,17 years old,Female,Sometimes,3 or more,Sometimes
11868,No,16 years old,Male,Never,3 or more,Rarely
11869,Yes,16 years old,Male,Most of the time,3 or more,Rarely
11870,No,18 years old or older,Female,Never,1,Rarely
11871,No,17 years old, ,Never,3 or more,Rarely
11872,No,16 years old, ,Sometimes,3 or more,Sometimes
11873,Yes,18 years old or older,Female,Always,3 or more,Sometimes
11874,No,17 years old,Male,Most of the time,2,Most of the time
11875,Yes,17 years old,Male,Sometimes,3 or more,Rarely
11876,No,16 years old,Male,Never,2,Most of the time
11877,Yes,16 years old,Female,Sometimes,2,Never
11878,No,13 years old,Male,Never,3 or more,Most of the time
11879,No,13 years old,Male,Never,2,Most of the time
11880,No,14 years old,Female,Most of the time,1,Always
11881,No,13 years old,Male,Rarely,2,Most of the time
11882,No,13 years old,Female,Never,3 or more,Most of the time
11883,Yes,13 years old,Male,Never,2,Always
11884,Yes,13 years old,Male,Sometimes,3 or more,Most of the time
11885,No,13 years old,Male,Rarely,3 or more,Always
11886,Yes,13 years old,Male,Rarely,3 or more,Most of the time
11887,Yes,14 years old,Male,Sometimes,3 or more,Sometimes
11888,Yes,13 years old,Female,Rarely,3 or more,Most of the time
11889,No,14 years old,Female,Sometimes,0,Sometimes
11890,No,13 years old,Male,Sometimes,3 or more,Sometimes
11891,No,13 years old,Male,Rarely,3 or more,Always
11892,Yes,13 years old,Female,Sometimes,3 or more,Most of the time
11893,No,13 years old,Female,Sometimes,3 or more,Most of the time
11894,No,13 years old,Female,Rarely,3 or more,Always
11895,No,13 years old,Female,Never,3 or more,Always
11896,No,14 years old,Female,Never,3 or more,Always
11897,No,13 years old,Female,Never,3 or more,Always
11898,Yes,13 years old,Female,Always,0,Never
11899,No,13 years old,Female,Rarely,3 or more,Always
11900,No,13 years old,Female,Most of the time,3 or more,Always
11901,No,13 years old,Male,Never,3 or more,Most of the time
11902,No,13 years old,Female,Rarely,3 or more,Most of the time
11903,No,13 years old,Male,Never,3 or more,Always
11904,No,13 years old,Male,Rarely,2,Most of the time
11905,Yes,13 years old,Female,Sometimes,3 or more,Sometimes
11906,No,13 years old,Female,Never,3 or more,Always
11907,No,13 years old,Female,Never,3 or more,Most of the time
11908,No,13 years old,Female,Sometimes,2,Most of the time
11909,No,13 years old,Male,Never,3 or more,Most of the time
11910,Yes,14 years old,Female,Sometimes,3 or more,Most of the time
11911,No,13 years old,Male,Rarely,3 or more,Sometimes
11912,Yes,13 years old,Male,Sometimes,3 or more,Sometimes
11913,Yes,13 years old,Male,Never,3 or more,Most of the time
11914,No,14 years old, ,Rarely,3 or more,Always
11915, ,13 years old,Female,Never,3 or more,Most of the time
11916,No,13 years old,Female,Sometimes,3 or more,Always
11917,No,13 years old,Female,Never,3 or more,Always
11918,No,13 years old,Female,Rarely,3 or more,Always
11919,No,13 years old,Female,Never,3 or more,Always
11920,No,13 years old,Male,Never,3 or more,Sometimes
11921,No,13 years old,Male,Never,3 or more,Most of the time
11922,Yes,13 years old,Female,Always,3 or more,Most of the time
11923,No,14 years old,Female,Always,1,Never
11924,No,13 years old,Female,Rarely,3 or more,Always
11925,No,13 years old,Female,Sometimes,2,Most of the time
11926,No,13 years old,Female,Always,3 or more,Most of the time
11927,No,13 years old,Male,Always,3 or more,Sometimes
11928,No,13 years old,Male,Rarely,3 or more,Most of the time
11929,No,13 years old,Female,Most of the time,3 or more,Rarely
11930,No,13 years old,Female,Rarely,3 or more,Rarely
11931,No,14 years old,Male,Never,3 or more,Always
11932,No,13 years old,Male,Never,3 or more,Always
11933,No,13 years old,Male,Never,3 or more,Most of the time
11934,Yes,13 years old,Male,Never,3 or more,Never
11935,No,13 years old,Male,Never,3 or more,Always
11936,No,13 years old,Male,Never,0,Sometimes
11937,No,13 years old,Female,Rarely,3 or more,Sometimes
11938,No,13 years old,Female,Never,3 or more,Sometimes
11939,No,13 years old,Male,Never,3 or more,Most of the time
11940,No,13 years old,Male,Never,3 or more,Most of the time
11941,No,13 years old,Female,Never,3 or more,Always
11942,No,13 years old,Female,Never,3 or more,Always
11943,No,13 years old,Male,Never,3 or more,Sometimes
11944,Yes,13 years old,Female,Sometimes,3 or more,Most of the time
11945,No,13 years old,Female,Never,3 or more,Most of the time
11946,No,13 years old,Female,Never,3 or more,Always
11947,Yes,14 years old,Female,Sometimes,2,Most of the time
11948,Yes,14 years old,Female,Always,3 or more,Most of the time
11949,No,14 years old,Male,Never,3 or more,Sometimes
11950,No,14 years old,Male,Never,3 or more,Most of the time
11951,Yes,15 years old,Female,Sometimes,0,Most of the time
11952,No,14 years old,Female,Rarely,3 or more,Always
11953,No,15 years old,Female,Sometimes,3 or more,Most of the time
11954,No,14 years old,Male,Rarely,3 or more,Most of the time
11955,Yes,14 years old,Female,Most of the time,3 or more,Sometimes
11956,No,14 years old,Female,Never,3 or more,Most of the time
11957,No,14 years old,Female,Rarely,3 or more,Most of the time
11958,Yes,14 years old,Female,Sometimes,3 or more,Always
11959,No,14 years old,Female,Rarely,3 or more,Most of the time
11960,No,14 years old,Female,Sometimes,2,Most of the time
11961,No,15 years old, ,Sometimes,2,Sometimes
11962,No,14 years old,Male,Never,3 or more,Always
11963,No,15 years old,Female,Rarely,3 or more,Most of the time
11964,Yes,14 years old,Male,Always,0,Rarely
11965,No,15 years old,Male,Rarely,3 or more,Sometimes
11966,No,15 years old,Female,Never,3 or more,Most of the time
11967,Yes,14 years old,Female,Sometimes,2,Rarely
11968,No,15 years old,Female,Rarely,3 or more,Sometimes
11969,No,14 years old,Female,Never,3 or more,Always
11970,Yes,14 years old,Female,Most of the time,3 or more,Most of the time
11971,No,14 years old,Male,Never,2,Always
11972,Yes,14 years old,Female,Sometimes,3 or more,Always
11973,No,14 years old,Male,Never,3 or more,Always
11974,Yes,15 years old,Male,Rarely,3 or more,Rarely
11975,Yes,14 years old,Female,Sometimes,3 or more,Most of the time
11976,No,15 years old,Female,Most of the time,3 or more,Sometimes
11977,No,15 years old,Female,Sometimes,3 or more,Most of the time
11978,No,15 years old,Male,Rarely,1,Always
11979,Yes,15 years old,Female,Most of the time,2,Always
11980,No,15 years old,Female,Rarely,3 or more,Most of the time
11981,No,15 years old,Female,Sometimes,3 or more,Most of the time
11982,No,16 years old,Male,Never,3 or more,Most of the time
11983,No,15 years old,Female,Rarely,3 or more,Most of the time
11984,No,16 years old,Female,Sometimes,3 or more,Always
11985,No,15 years old,Female,Sometimes,3 or more,Sometimes
11986,No,15 years old,Female,Rarely,3 or more,Most of the time
11987,No,15 years old,Female,Never,3 or more,Most of the time
11988,No,15 years old,Female,Rarely,3 or more,Always
11989,No,15 years old,Male,Never,3 or more,Sometimes
11990,No,15 years old,Male,Sometimes,1,Sometimes
11991,No,15 years old,Male,Sometimes,3 or more,Most of the time
11992,No,15 years old,Female,Sometimes,3 or more,Sometimes
11993,No,16 years old,Male,Rarely,3 or more,Never
11994,No,15 years old,Male,Sometimes,3 or more,Sometimes
11995,Yes,16 years old,Female,Most of the time,3 or more,Most of the time
11996,No,15 years old,Male,Never,3 or more,Rarely
11997,No,15 years old,Male,Never,3 or more,Always
11998,No,15 years old,Male,Rarely,3 or more,Always
11999,No,16 years old,Female,Sometimes,2,Never
12000,No,15 years old,Male,Never,2,Most of the time
12001,No,16 years old,Female,Rarely,3 or more,Sometimes
12002,No,16 years old,Female,Sometimes,3 or more,Sometimes
12003,No,16 years old,Female,Sometimes,3 or more,Always
12004,No,16 years old,Female,Sometimes,2,Sometimes
12005,No,17 years old,Female,Sometimes,3 or more,Most of the time
12006,No,16 years old,Male,Most of the time,3 or more,Most of the time
12007,Yes,17 years old,Male,Rarely,3 or more,Sometimes
12008,No,17 years old,Female,Never,3 or more,Most of the time
12009,No,16 years old,Female,Rarely,3 or more,Most of the time
12010,No,16 years old,Male,Rarely,3 or more,Never
12011,No,17 years old,Female,Never,3 or more,Always
12012,No,16 years old,Female,Sometimes,3 or more,Sometimes
12013,No,16 years old,Male,Never,3 or more,Most of the time
12014,No,17 years old,Female,Never,3 or more,Always
12015,No,16 years old,Male,Sometimes,3 or more,Sometimes
12016,No,16 years old,Male,Sometimes,3 or more,Most of the time
12017,No,16 years old,Female,Never,3 or more,Sometimes
12018,Yes,16 years old,Female,Sometimes,3 or more,Sometimes
12019,No,16 years old,Female,Never,3 or more,Most of the time
12020,No,16 years old,Female,Sometimes,3 or more,Most of the time
12021,No,16 years old,Female,Rarely,3 or more,Most of the time
12022,No,16 years old,Female,Never,3 or more,Always
12023,No,16 years old,Female,Rarely,3 or more,Sometimes
12024,No,13 years old,Male,Rarely,3 or more,Always
12025,No,13 years old,Female,Sometimes,3 or more,Rarely
12026,No,13 years old,Male,Sometimes,2,Always
12027,No,15 years old,Female,Never,3 or more,Rarely
12028,No,13 years old,Female,Most of the time,3 or more,Never
12029,Yes,13 years old,Female,Rarely,2,Most of the time
12030,No,13 years old,Male,Never,3 or more,Most of the time
12031,No,13 years old,Female,Rarely,3 or more,Always
12032,No,13 years old,Female,Never,2,Most of the time
12033,No, , ,Never,3 or more,Always
12034,No,14 years old,Female,Sometimes,3 or more,Most of the time
12035,No,13 years old,Male,Sometimes,3 or more,Rarely
12036,No,15 years old,Male,Never,3 or more,Most of the time
12037,No,14 years old,Male,Sometimes,3 or more,Most of the time
12038,No,16 years old,Female,Most of the time,3 or more,Most of the time
12039,No,14 years old,Female,Sometimes,3 or more,Always
12040,No,14 years old,Female,Sometimes,3 or more,Always
12041,No,14 years old,Female,Rarely,3 or more,Most of the time
12042,No,14 years old,Female,Never,3 or more,Always
12043,No,16 years old,Female,Most of the time,3 or more,Most of the time
12044,No,16 years old,Female,Sometimes,1,Always
12045,No,16 years old,Female,Sometimes,0,Rarely
12046,No,15 years old,Female,Always,3 or more,Most of the time
12047,Yes,15 years old,Female,Sometimes,0,Sometimes
12048,Yes,15 years old,Female,Sometimes,0,Most of the time
12049,No,15 years old,Male,Never,3 or more,Always
12050,No,15 years old,Male,Rarely,3 or more,Always
12051,Yes,15 years old,Male,Rarely,3 or more,Most of the time
12052,No,15 years old,Male,Never,3 or more,Most of the time
12053,No,16 years old,Female,Sometimes,2,Most of the time
12054,No,17 years old,Female,Sometimes,3 or more,Most of the time
12055,Yes,16 years old,Female,Rarely,2,Rarely
12056,No,16 years old,Male,Never,2,Always
12057,No,17 years old,Female,Sometimes,2,Most of the time
12058,No,13 years old,Male,Sometimes,2,Most of the time
12059,Yes,13 years old,Male,Most of the time,0,Never
12060,No,13 years old,Male,Sometimes,3 or more,Sometimes
12061,No,16 years old,Male,Rarely,3 or more,Rarely
12062,No,16 years old,Male,Never,3 or more,Most of the time
12063,No,13 years old,Male,Never,3 or more,Always
12064,No,13 years old,Female,Always,3 or more,Most of the time
12065,Yes,15 years old,Male,Always,3 or more,Rarely
12066,No,15 years old,Male,Never,3 or more,Most of the time
12067,No,15 years old,Male,Sometimes,3 or more,Rarely
12068,No,15 years old,Male,Never,2,Rarely
12069,Yes,14 years old,Female,Never,3 or more,Sometimes
12070,No,15 years old,Male,Never,3 or more,Sometimes
12071,No,13 years old,Male,Never,3 or more,Most of the time
12072,No,13 years old,Female,Rarely,3 or more,Never
12073,No,14 years old,Male,Rarely,3 or more,Never
12074,Yes,14 years old,Male,Never,3 or more,Most of the time
12075,No,13 years old,Male,Never,3 or more,Rarely
12076,Yes,14 years old,Male,Sometimes,2,Never
12077,No,13 years old,Male,Never,3 or more,Most of the time
12078, ,14 years old,Female,Never,3 or more,Rarely
12079,No,14 years old,Male,Never,3 or more,Most of the time
12080,No,14 years old,Female,Most of the time,3 or more,Most of the time
12081,No,15 years old,Male,Never,3 or more,Never
12082,No,13 years old,Male,Never,3 or more,Sometimes
12083,No,13 years old,Male,Never,3 or more,Sometimes
12084,Yes,15 years old,Male,Rarely,3 or more,Sometimes
12085,No,14 years old,Male,Most of the time,1,Never
12086,No,13 years old,Male,Never,3 or more,Always
12087,No,14 years old,Male,Never,3 or more,Most of the time
12088,No,14 years old,Male,Rarely,3 or more,Most of the time
12089,No,13 years old,Male,Rarely,3 or more,Most of the time
12090,No,14 years old,Male,Never,3 or more,Sometimes
12091,Yes,13 years old,Male,Rarely,3 or more,Most of the time
12092,Yes,13 years old,Male,Sometimes,2,Rarely
12093,No,16 years old,Male,Most of the time,3 or more,Rarely
12094,No,14 years old,Male,Rarely,3 or more,Rarely
12095,No,14 years old,Male,Sometimes,3 or more,Always
12096,No,14 years old,Male,Rarely,3 or more,Rarely
12097,Yes,13 years old,Female,Never,3 or more,Never
12098,Yes,13 years old,Male,Rarely,3 or more,Always
12099,No,15 years old,Female,Sometimes,3 or more,Never
12100,No,13 years old,Female,Never,2,Always
12101,No,14 years old,Male,Sometimes,3 or more,Rarely
12102,Yes,13 years old,Female,Sometimes,2,Sometimes
12103,No,13 years old,Male,Rarely,3 or more,Sometimes
12104,Yes,14 years old,Male,Sometimes,3 or more,Rarely
12105,No,16 years old,Female, ,2,Rarely
12106,No,14 years old,Female,Always,3 or more,Rarely
12107,No,14 years old,Female,Sometimes,3 or more,Sometimes
12108,No,14 years old,Male,Rarely,3 or more,Sometimes
12109,Yes,14 years old,Male,Sometimes,3 or more,Most of the time
12110,Yes,15 years old,Male,Most of the time,3 or more,Rarely
12111,No,14 years old,Male,Rarely,3 or more,Rarely
12112,No,15 years old,Male,Sometimes,1,Most of the time
12113,Yes,15 years old,Male,Sometimes,3 or more,Rarely
12114,Yes,15 years old,Male,Rarely,3 or more,Rarely
12115,No,15 years old,Male,Sometimes,1,Most of the time
12116,No,16 years old,Male,Never,2,Rarely
12117,No,16 years old,Male,Never,0,Most of the time
12118,No,14 years old,Female,Rarely,3 or more,Rarely
12119,No,16 years old,Male,Never,3 or more,Rarely
12120,No,14 years old,Female,Most of the time,1,Rarely
12121,No,14 years old,Female,Never,3 or more,Sometimes
12122,No,15 years old,Female,Most of the time,1,Rarely
12123,No,17 years old,Male,Rarely,2,Rarely
12124,No,14 years old,Female,Never,3 or more,Rarely
12125,Yes,15 years old,Male,Sometimes,3 or more,Most of the time
12126,No,16 years old,Male,Rarely,3 or more,Sometimes
12127,Yes,16 years old, ,Never,3 or more,Always
12128,Yes,15 years old,Female,Rarely,2,Rarely
12129,Yes,16 years old,Male,Never,3 or more,Never
12130,No,14 years old,Male,Sometimes,3 or more,Sometimes
12131,No,14 years old,Male,Sometimes,3 or more,Most of the time
12132,Yes,17 years old,Male,Rarely,2,Most of the time
12133, ,18 years old or older,Male, , ,Rarely
12134,No,15 years old,Male,Never,3 or more,Most of the time
12135,No,15 years old,Female,Most of the time,2,Sometimes
12136,No,15 years old,Female,Rarely,2,Sometimes
12137,No,16 years old,Male,Most of the time,2,Sometimes
12138,No,15 years old,Female,Most of the time,3 or more,Most of the time
12139,Yes,15 years old,Male,Most of the time,1,Most of the time
12140,No,15 years old,Female,Most of the time,2,Rarely
12141,Yes,17 years old,Male,Sometimes,0,Sometimes
12142,No,15 years old,Female,Never,3 or more,Most of the time
12143,Yes,15 years old,Female,Sometimes,3 or more,Never
12144,No,16 years old,Female,Rarely,3 or more,Rarely
12145,No,16 years old,Female,Never,2,Never
12146,Yes,16 years old,Female,Always,3 or more,Sometimes
12147,No,16 years old,Female,Most of the time, ,Rarely
12148, ,16 years old,Female,Sometimes,2,Rarely
12149,No,15 years old,Female,Rarely,3 or more,Always
12150,No,15 years old,Female,Most of the time,2,Rarely
12151,No,15 years old,Female,Rarely,3 or more,Most of the time
12152,No,15 years old,Male,Never,3 or more,Rarely
12153,No,17 years old,Male,Never,3 or more,Most of the time
12154,No,15 years old,Female,Sometimes,3 or more,Sometimes
12155,Yes,15 years old,Female,Most of the time,3 or more,Rarely
12156,No,15 years old,Female,Never,3 or more,Sometimes
12157,No,15 years old,Male,Most of the time,2,Rarely
12158,No,15 years old,Male,Rarely,3 or more,Most of the time
12159,No,15 years old,Female,Sometimes,3 or more,Most of the time
12160, ,16 years old,Female,Always,2,Rarely
12161,No,15 years old,Female,Sometimes,1,Rarely
12162,No,16 years old,Male,Rarely,2,Most of the time
12163,Yes,17 years old,Male,Sometimes,3 or more,Most of the time
12164,No,17 years old,Male,Rarely,1,Sometimes
12165,No,16 years old,Female,Never,3 or more,Never
12166,No,16 years old,Male,Rarely,3 or more,Rarely
12167,Yes,16 years old,Male,Rarely,3 or more,Rarely
12168,No,16 years old,Female,Rarely,3 or more,Sometimes
12169,Yes,16 years old,Male,Never,3 or more,Most of the time
12170,No,17 years old,Male,Never,3 or more,Always
12171,No,16 years old,Female,Sometimes,3 or more,Most of the time
12172,No,17 years old,Female,Always,1,Never
12173,No,17 years old,Female,Rarely,2,Rarely
12174,No,16 years old,Female,Rarely,2,Sometimes
12175,Yes,17 years old,Female,Most of the time,3 or more,Sometimes
12176,Yes,16 years old,Female,Always,3 or more,Sometimes
12177,No,16 years old,Male,Never,3 or more,Sometimes
12178,Yes,16 years old,Female,Always,2,Most of the time
12179,Yes,16 years old,Female,Rarely,3 or more,Rarely
12180,No,16 years old,Male,Never,3 or more,Sometimes
12181,No,16 years old,Female,Rarely,3 or more,Sometimes
12182,No,16 years old,Female,Sometimes,3 or more,Never
12183,No,16 years old,Female,Sometimes,0,Sometimes
12184,No,17 years old,Female,Never,3 or more,Always
12185,No,16 years old,Male,Never,3 or more,Sometimes
12186,No,17 years old,Female,Sometimes,3 or more,Most of the time
12187,Yes,14 years old,Female,Sometimes,3 or more,Rarely
12188,No,13 years old,Female,Always,3 or more,Sometimes
12189,No,13 years old,Female,Rarely,3 or more,Most of the time
12190,No,14 years old,Male,Rarely,3 or more,Always
12191,No,14 years old,Male,Never,3 or more,Most of the time
12192,No,13 years old,Male,Sometimes,3 or more,Most of the time
12193,No,14 years old,Female,Sometimes,3 or more,Most of the time
12194,No,13 years old,Female,Most of the time,3 or more,Always
12195,Yes,13 years old,Female,Never,3 or more,Always
12196,No,13 years old,Female,Sometimes,3 or more,Most of the time
12197,No,14 years old,Male,Never,3 or more,Most of the time
12198,No,15 years old,Female,Sometimes,3 or more,Always
12199,No,13 years old,Male,Never,3 or more,Most of the time
12200,No,13 years old,Male,Never,3 or more,Always
12201,No,14 years old,Male,Never,3 or more,Always
12202,No,16 years old,Female,Sometimes,3 or more,Always
12203,No,14 years old,Female,Sometimes,3 or more,Always
12204,No,14 years old,Male,Rarely,3 or more,Most of the time
12205,Yes,13 years old,Male,Never,3 or more,Sometimes
12206,No,13 years old,Female,Sometimes,3 or more,Rarely
12207,No,13 years old,Female,Sometimes,3 or more,Rarely
12208,No,14 years old,Male,Never,1,Always
12209,No,13 years old,Female,Sometimes,3 or more,Always
12210,No,13 years old,Female,Rarely,3 or more,Most of the time
12211,No,13 years old,Male,Sometimes,2,Most of the time
12212,No,13 years old,Female,Always,1,Rarely
12213,Yes,14 years old,Female,Always,3 or more,Rarely
12214,Yes,13 years old,Female,Sometimes,3 or more,Most of the time
12215,Yes,13 years old,Female,Sometimes,3 or more,Rarely
12216,No,13 years old,Male,Never,3 or more,Sometimes
12217,No,15 years old,Female,Rarely,3 or more,Rarely
12218,Yes,13 years old,Male,Sometimes,3 or more,Always
12219,No,14 years old,Male,Never,3 or more,Most of the time
12220,No,14 years old,Male,Rarely,3 or more,Sometimes
12221,No,14 years old,Male,Rarely,2,Most of the time
12222,No, , ,Never,3 or more,Most of the time
12223,No,14 years old,Male,Never,3 or more,Most of the time
12224,No,14 years old,Female,Most of the time,1,Always
12225,No,14 years old,Male,Sometimes,3 or more,Most of the time
